epoch,loss,mae,val_loss,val_mae
0,0.0653480663895607,0.21599043905735016,0.04004457965493202,0.16387630999088287
1,0.033497970551252365,0.14715692400932312,0.024401342496275902,0.1274578869342804
2,0.020543506368994713,0.11213883757591248,0.019761355593800545,0.10443779826164246
3,0.017334531992673874,0.09999497979879379,0.013748742640018463,0.0865914598107338
4,0.01353609561920166,0.08537866175174713,0.012687304057180882,0.08455179631710052
5,0.012229183688759804,0.08059297502040863,0.01051339227706194,0.07364115864038467
6,0.011176731437444687,0.07618893682956696,0.00958542712032795,0.06996580958366394
7,0.010261522606015205,0.07209931313991547,0.011043969541788101,0.07833292335271835
8,0.01106098759919405,0.07621868699789047,0.009178542532026768,0.06893904507160187
9,0.011201540008187294,0.07711184024810791,0.008988303132355213,0.0677325427532196
10,0.010658305138349533,0.07476435601711273,0.008864295668900013,0.06652867048978806
11,0.010205746628344059,0.07221438735723495,0.008915344253182411,0.06811872869729996
12,0.00958314910531044,0.06953749060630798,0.008578008972108364,0.06566804647445679
13,0.009237195365130901,0.06789331138134003,0.008119173347949982,0.0635688453912735
14,0.008698215708136559,0.06511906534433365,0.00792077649384737,0.06263799220323563
15,0.00841723382472992,0.0636957660317421,0.0078035988844931126,0.06224321573972702
16,0.008226477541029453,0.06297621130943298,0.00786721520125866,0.06309311091899872
17,0.008589073084294796,0.06519224494695663,0.00859422329813242,0.06731695681810379
18,0.008338038809597492,0.06395310908555984,0.008678269572556019,0.06764495372772217
19,0.008614317514002323,0.0654715895652771,0.009091216139495373,0.07025928795337677
20,0.008478657342493534,0.06470232456922531,0.007331036496907473,0.05974118039011955
21,0.007794729433953762,0.061150629073381424,0.008076831698417664,0.06460341066122055
22,0.008069253526628017,0.06306612491607666,0.007866734638810158,0.06369023770093918
23,0.007785417139530182,0.06146037578582764,0.00735875777900219,0.060550592839717865
24,0.00770476832985878,0.06102122366428375,0.008186429738998413,0.06589552760124207
25,0.007777066435664892,0.06160939857363701,0.006869687233120203,0.05826954543590546
26,0.007238994352519512,0.05859600752592087,0.0066986363381147385,0.05701998248696327
27,0.007090909872204065,0.05770204961299896,0.0065714227966964245,0.05649963766336441
28,0.007032915484160185,0.05747010558843613,0.006643269676715136,0.05698327720165253
29,0.007093498017638922,0.05802334100008011,0.006589916534721851,0.056147705763578415
30,0.007018178701400757,0.05747795104980469,0.0069633726961910725,0.05873643606901169
31,0.006992710754275322,0.05740992724895477,0.006374250166118145,0.05543298274278641
32,0.006859473884105682,0.05660688877105713,0.006295427680015564,0.05481928214430809
33,0.006779919844120741,0.05636290833353996,0.006250080186873674,0.05439067259430885
34,0.006852611433714628,0.05669054016470909,0.006457779556512833,0.05622759461402893
35,0.00684443349018693,0.05683019384741783,0.006504376418888569,0.0557725764811039
36,0.00688594626262784,0.0569775216281414,0.006204937119036913,0.05453645437955856
37,0.006731362547725439,0.05614651367068291,0.006136879324913025,0.05383765324950218
38,0.0065687415190041065,0.055219780653715134,0.006048396695405245,0.0536329559981823
39,0.006548007018864155,0.0550871416926384,0.0062862783670425415,0.055078860372304916
40,0.006662754807621241,0.0559517927467823,0.006097552366554737,0.05383390933275223
41,0.00662454217672348,0.05562150478363037,0.006131038069725037,0.05425839498639107
42,0.006626241374760866,0.05585814639925957,0.006155523471534252,0.053888317197561264
43,0.006511990912258625,0.055046141147613525,0.0059959846548736095,0.05325388163328171
44,0.006360345985740423,0.054204102605581284,0.005993381608277559,0.05359768494963646
45,0.0064595965668559074,0.05497202277183533,0.006212770473212004,0.05472663417458534
46,0.006385013461112976,0.05433497950434685,0.011931193992495537,0.08425265550613403
47,0.00863487459719181,0.06662429869174957,0.006493768189102411,0.056547861546278
48,0.006903449539095163,0.05752380192279816,0.006102427840232849,0.05430329963564873
49,0.006576194893568754,0.055717289447784424,0.005981034599244595,0.05356438085436821
50,0.006409524939954281,0.05472831055521965,0.006108955014497042,0.05403310805559158
51,0.006303238682448864,0.05407652631402016,0.005890530999749899,0.052711281925439835
52,0.006260047201067209,0.05379782244563103,0.006476802285760641,0.05690441653132439
53,0.006492367014288902,0.055431708693504333,0.0069258566945791245,0.05936000123620033
54,0.006774398032575846,0.05721632018685341,0.0062288567423820496,0.05532979592680931
55,0.006312846671789885,0.054175615310668945,0.005846797022968531,0.05283760651946068
56,0.006202475633472204,0.05366982892155647,0.005787824746221304,0.05203087255358696
57,0.006139175500720739,0.05308464542031288,0.0061658816412091255,0.05536011978983879
58,0.006212571170181036,0.05367755517363548,0.005848271772265434,0.05253921076655388
59,0.006130126304924488,0.053076162934303284,0.006000387482345104,0.05364580452442169
60,0.006397716701030731,0.05473542958498001,0.006015336140990257,0.053095411509275436
61,0.006197119597345591,0.053444117307662964,0.006711931899189949,0.05869000032544136
62,0.006278329994529486,0.054097775369882584,0.005935989785939455,0.05314549431204796
63,0.006161510944366455,0.053460318595170975,0.006174388807266951,0.05557103082537651
64,0.00632801977917552,0.05436760187149048,0.0067693572491407394,0.05819214507937431
65,0.0062741972506046295,0.05416322126984596,0.005616641137748957,0.051101330667734146
66,0.006040606182068586,0.0525740347802639,0.0056311748921871185,0.05116967856884003
67,0.0059501794166862965,0.05203826352953911,0.005668393801897764,0.05135764926671982
68,0.005962152034044266,0.052055805921554565,0.005955528002232313,0.053146157413721085
69,0.006242726463824511,0.054038915783166885,0.005890995729714632,0.05362030491232872
70,0.006429227069020271,0.05534757673740387,0.00580237153917551,0.0519578754901886
71,0.006024257279932499,0.052587974816560745,0.005937268026173115,0.05363953486084938
72,0.00630934489890933,0.05464048311114311,0.005948236212134361,0.05287234112620354
73,0.006072650663554668,0.05306129530072212,0.00600454630330205,0.0543825700879097
74,0.006230984348803759,0.05418163537979126,0.005961804650723934,0.05303424224257469
75,0.006089997477829456,0.0530884712934494,0.005555433686822653,0.05106794089078903
