epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.6907224059104919,0.0003000000142492354,0.8435717225074768,0.5819746255874634,1.4048484563827515
1,0.77738356590271,0.0003000000142492354,0.5593227744102478,0.737922728061676,0.5912718176841736
2,0.8192043304443359,0.0003000000142492354,0.4598706066608429,0.8020833134651184,0.4926123023033142
3,0.8367555141448975,0.0003000000142492354,0.413520485162735,0.6890096664428711,0.7741914987564087
4,0.851438045501709,0.0003000000142492354,0.3800361156463623,0.5703502297401428,1.1017630100250244
5,0.8685362935066223,0.0003000000142492354,0.3410675823688507,0.7820048332214355,0.8231986165046692
6,0.8744621276855469,0.0003000000142492354,0.33041131496429443,0.7823067903518677,0.5444279313087463
7,0.8999773263931274,0.0001500000071246177,0.26600608229637146,0.8772644996643066,0.33928200602531433
8,0.9041669964790344,0.0001500000071246177,0.25541943311691284,0.6216787695884705,1.6446260213851929
9,0.9090737700462341,0.0001500000071246177,0.24145521223545074,0.7881944179534912,0.5347652435302734
10,0.9107345342636108,0.0001500000071246177,0.23789647221565247,0.8230676054954529,0.46454963088035583
11,0.9184343814849854,0.0001500000071246177,0.220758855342865,0.6094504594802856,1.5489089488983154
12,0.9271910786628723,7.500000356230885e-05,0.1983116716146469,0.8066123127937317,0.6169129610061646
13,0.9328527450561523,7.500000356230885e-05,0.18611401319503784,0.9012681245803833,0.2755447328090668
14,0.9343247413635254,7.500000356230885e-05,0.18225467205047607,0.872433602809906,0.3329967260360718
15,0.9364384412765503,7.500000356230885e-05,0.17429451644420624,0.8929649591445923,0.2988908886909485
16,0.9368536472320557,7.500000356230885e-05,0.17644695937633514,0.8205012083053589,0.7110520005226135
17,0.9397976994514465,7.500000356230885e-05,0.16614027321338654,0.8728864789009094,0.36168885231018066
18,0.9430437088012695,3.7500001781154424e-05,0.15735208988189697,0.8943236470222473,0.30397188663482666
19,0.9456103444099426,3.7500001781154424e-05,0.15188582241535187,0.7897040843963623,0.5800966024398804
20,0.9460632801055908,3.7500001781154424e-05,0.14927369356155396,0.8194444179534912,0.5538251399993896
21,0.9484034180641174,3.7500001781154424e-05,0.14360232651233673,0.8147644996643066,0.5942547917366028
22,0.9503283500671387,1.8750000890577212e-05,0.13624686002731323,0.8349939584732056,0.5628440976142883
23,0.9518381357192993,1.8750000890577212e-05,0.13631051778793335,0.833031415939331,0.4588157832622528
24,0.9504793286323547,1.8750000890577212e-05,0.1375511884689331,0.8985507488250732,0.30078208446502686
25,0.9515739679336548,1.8750000890577212e-05,0.13316728174686432,0.8923611044883728,0.31535521149635315
